soc_15-30,soc_0-5,soc_5-15,som,clay_5-15,clay_15-30,bd_0-5,bd_0_30,cec_5-15,bd_15-30,clay_0_30,sand_0_30,bd_5-15,cec_0-5,pool_RPM,porosity,pool_IOM,pool_HUM,sand_0-5,pool_BIO,clay_0-5,sand_5-15,pool_DPM,silt_0_30,silt_15-30,soc_0_30,x,y
0.9575225,0.95487314,1.0034266,1.6763870966933334,1.0508506,1.0697232,0.9732286,0.9696158766666666,1.2133642,0.9663248,1.0614262333333335,0.8948189183333334,0.97274613,1.1971031,0.1387381043159097,0.6341072163522012,0.0474616112272684,0.7491857633059127,0.91418475,0.0277476208631819,1.0576866,0.90798163,0.0092492069543939,1.0384260666666665,1.0260133,0.9723823066666668,771192.9259114233,1456680.1392972758
0.8905989,0.93324023,1.141947,1.6920861538866665,1.0508506,1.0278561,0.9732286,0.9696158766666666,1.2015406,0.9663248,1.0404926833333334,0.9019674,0.97274613,1.1859291,0.1400280446990584,0.6341072163522012,0.0479681903396102,0.7561514413749156,0.9058787,0.0280056089398116,1.0576866,0.9036773,0.0093352029799372,1.0646668666666668,1.0665296,0.9814884883333332,771443.0721845595,1456680.1392972758
0.7790595,0.8358922,1.1592622,1.5779183253999998,0.9614564,0.8544067,0.9889453,0.9800724766666666,0.7404209,0.9819991,0.909248945,1.0600907000000002,0.97274613,0.73896897,0.1306449588809112,0.6301613295597484,0.0442994574605916,0.7054827779569207,1.0304691,0.0261289917761822,0.96936077,1.0241997,0.008709663925394,0.9361354466666668,0.96523875,0.9152658499999998,768941.6094531971,1456420.682368812
0.75675166,0.73854417,0.86490595,1.3615609083666669,1.010217,0.9501029,1.004662,0.995808265,0.9532454,0.99767333,0.98365525,1.0227876166666665,0.9885838,0.962449,0.1128478209476023,0.6242232962264151,0.0374497020159841,0.6093782331170529,1.005551,0.0225695641895204,1.0311888,1.0069822,0.0075231880631734,0.9033065166666668,0.9145933,0.7897685083333333,769191.7557263334,1456420.682368812
-0.7824915,-0.8406576,-0.7800257,-1.3643113923333332,-0.7776669,-0.7903722,-0.78704566,-0.78751841,-0.7493506,-0.7891944,-0.7843236,-0.7972446350000001,-0.7852408,-0.74717367,,0.99,,,-0.7968549,,-0.7794912,-0.8008539,,-0.7979030800000001,-0.79722327,-0.7913639166666666,769441.9019994696,1456420.682368812
-1.0948018,-1.1435182,-1.1263272,-1.9195527453333328,-1.1433705,-1.149233,-1.1485305,-1.14944265,-1.1158817,-1.1497028,-1.1474833,-1.1584596,-1.1495085,-1.1159158,,0.99,,,-1.1581666,,-1.1504598,-1.1581168,,-1.1424428333333334,-1.1416124,-1.1134296666666663,769692.0482726059,1456420.682368812
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,769942.1945457421,1456420.682368812
-0.8494151,-0.970455,-0.9704915,-1.5687490015333332,-1.062103,-1.0595179,-1.0699469,-1.0707634500000005,-1.021293,-1.0713314,-1.0593435,-1.074992883333333,-1.0703198,-1.0265237,,0.99,,,-1.0751065,,-1.0533013,-1.0763336,,-1.04740275,-1.0504506,-0.9099472166666666,770192.3408188784,1456420.682368812
3.0321548,1.982436,1.9557554,4.307244818133333,0.50635874,0.555356,0.36027595,0.3821510616666667,0.61036146,0.3863765,0.53736368,0.4086557199999999,0.38675046,0.6160549,0.3539045837064252,0.8557920522012579,0.1390379752904983,1.9110847520146967,0.41167068,0.070780916741285,0.5453966,0.42589203,0.0235936389137616,0.5534838133333333,0.52968776,2.4984018666666667,770442.4870920145,1456420.682368812
3.166002,2.6963217,2.9080842,5.1750158794,0.9614564,1.0876663,0.8946449,0.8934945866666666,1.189717,0.9036277,1.0317671333333334,0.8724927133333333,0.87771976,1.1747551,0.424557449775961,0.6628322314465409,0.1713663514935934,2.2926102287901897,0.8975727,0.0849114899551922,1.0046911,0.9165904,0.028303829985064,0.9990462083333334,0.96523875,3.00174935,770692.6333651508,1456420.682368812
0.9575225,1.0738541,1.1592622,1.800127817333333,1.0427239,1.0816853,0.9732286,0.9696158766666666,1.1778934,0.9663248,1.0646983833333334,0.8976885083333334,0.97274613,1.1971031,0.1489028570502371,0.6341072163522012,0.0514719529984189,0.8040754280712804,0.91418475,0.0297805714100474,1.0576866,0.9165904,0.0099268571366824,1.0282969666666666,1.0057551,1.0441576666666663,770942.779638287,1456420.682368812
0.8236753,0.97650605,1.0726868,1.6070281947,1.0589774,1.0637422,0.9732286,0.9696158766666666,1.1542463,0.9663248,1.0611446666666666,0.8998027183333333,0.97274613,1.1747551,0.1330379151376731,0.6341072163522012,0.0452314907488454,0.7184047417434352,0.91418475,0.0266075830275346,1.0576866,0.90798163,0.0088691943425115,1.0399124333333334,1.0260133,0.932150925,771192.9259114233,1456420.682368812
0.66752017,0.93324023,1.124632,1.4898419352933334,1.1158646,1.0757042,0.9732286,0.9774530266666666,1.1778934,0.9819991,1.093448566666667,0.9200779,0.97274613,1.1971031,0.1234024967445594,0.6311498012578617,0.0414941450362701,0.6663734824206211,0.9266438,0.0246804993489118,1.1018496,0.92519915,0.0082268331163039,0.95553255,0.96523875,0.8641774566666667,771443.0721845595,1456420.682368812
0.6229044,0.7818099,1.0380566,1.358120163533333,0.9289495,0.8484257,0.9889453,0.9800724766666666,0.56306714,0.9819991,0.87922974,1.1321045166666666,0.97274613,0.57135886,0.1125646181912763,0.6301613295597484,0.0373419287248245,0.6078489382328921,1.1218352,0.0225129236382552,0.87220234,1.097374,0.0075043078794184,0.8294427516666667,0.8538187,0.7877727166666666,768941.6094531971,1456161.225440348
0.66752017,0.7926264,0.84759086,1.2902325863533333,0.9614564,0.8902928,0.9889453,0.993188815,0.7995388,0.99767333,0.9227757,1.055434083333333,0.9885838,0.772491,0.1069757091113402,0.6252117679245283,0.035223377591065,0.5776688292012373,1.038775,0.021395141822268,0.942863,1.028504,0.007131713940756,0.9179318933333336,0.93485147,0.7483947716666667,769191.7557263334,1456161.225440348
