aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y,soc_0_30,clay_0_30,sand_0_30,silt_0_30,ph_0_30,bd_0_30,cec_0_30,twi
213.0,2768.2263,1827.932,469.64844,698.0686,840.22974,2389.2473,136.0,137.0,135.0,0.11130886,208.0,201.0,199.0,246.0,361.0,261.0,871.0,0.28065643,-0.07059907,0.48626074,65.0,65.0,66.0,505.0,419.0,490.0,0.28307933,249.0,220.0,249.0,3.0,17.0,8.0,11.0,-0.375,3.4444444,20.0,771192.9259114233,1456939.5962257397,10.5,308.5,457.0,234.5,65.333336,136.16667,201.5,-1.8196225
193.0,2645.7507,1760.8264,418.31958,655.6379,828.67804,2408.1418,136.0,137.0,135.0,0.10055918,207.0,199.0,198.0,243.0,354.0,258.0,872.0,0.29007575,-0.046776954,0.49030122,65.0,65.0,65.0,503.0,420.0,488.0,0.29773527,254.0,226.0,253.0,3.0,17.0,8.0,11.0,-1.5,3.3333333,40.0,771443.0721845595,1456939.5962257397,10.5,303.5,456.5,239.66667,65.0,136.16667,200.0,-1.8113476
121.0,2764.3232,2035.2784,728.20215,1006.2092,1098.5599,2627.8108,138.0,137.0,136.0,0.06871062,186.0,183.0,177.0,243.0,345.0,266.0,869.0,0.28063324,-0.026392607,0.4167017,66.0,66.0,66.0,520.0,442.0,500.0,0.26665667,236.0,213.0,235.0,2.0,18.0,8.0,12.0,0.875,2.1111112,40.0,768941.6094531971,1456680.1392972758,11.0,301.66666,474.33334,224.16667,66.0,136.83333,181.5,-1.5685319
139.0,2647.6953,1956.7693,574.0865,829.3494,994.3256,2416.1365,138.0,137.0,136.0,0.09950807,202.0,193.0,190.0,247.0,358.0,269.0,865.0,0.25322565,-0.04971281,0.4138994,65.0,65.0,66.0,516.0,433.0,497.0,0.251511,237.0,209.0,235.0,2.0,16.0,8.0,12.0,-1.0,2.6666667,40.0,769191.7557263334,1456680.1392972758,10.666667,309.83334,468.16666,222.33333,65.333336,136.83333,193.5,-1.5752795
129.0,2670.2117,1872.7676,547.4002,750.74445,927.75757,2146.3784,137.0,136.0,135.0,0.13335328,199.0,191.0,188.0,247.0,356.0,268.0,861.0,0.21932915,-0.09949928,0.37845796,65.0,65.0,65.0,512.0,430.0,493.0,0.22108777,233.0,205.0,231.0,3.0,16.0,8.0,12.0,-1.25,3.1111112,40.0,769441.9019994696,1456680.1392972758,10.666667,308.5,464.66666,218.33333,65.0,135.83333,191.33333,-2.0702627
122.0,720.93665,515.9618,384.26358,477.3042,447.59344,603.5986,0.0,0.0,0.0,0.042691834,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.024026556,-0.08114784,-0.10749237,0.0,0.0,0.0,0.0,0.0,0.0,0.022689374,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.75,2.6666667,40.0,769692.0482726059,1456680.1392972758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9957323
102.0,208.58505,175.60043,303.32504,377.35526,296.79822,136.24615,0.0,0.0,0.0,0.06619434,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.0416977,-0.20143506,-0.38771495,0.0,0.0,0.0,0.0,0.0,0.0,-0.04442879,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.25,1.1111112,40.0,769942.1945457421,1456680.1392972758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9957323
284.0,285.52457,239.01947,292.05682,364.23755,295.3397,164.84851,0.0,0.0,0.0,0.11057289,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.033673346,-0.26427108,-0.32620907,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618407,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.8888889,20.0,770192.3408188784,1456680.1392972758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011974
274.0,914.4992,659.8675,352.43423,444.2926,427.4079,679.59625,11.0,11.0,11.0,0.1368495,17.0,17.0,16.0,21.0,31.0,21.0,857.0,0.047281165,-0.21665144,-0.0019456653,5.0,5.0,5.0,42.0,34.0,41.0,0.04607298,21.0,18.0,21.0,3.0,3.0,1.0,2.0,-2.125,3.4444444,20.0,770442.4870920145,1456680.1392972758,1.6666666,26.0,37.666668,19.5,5.0,11.0,16.666666,-3.4011974
252.0,2643.1282,1717.3489,477.84232,686.18115,795.3236,2271.9143,117.0,120.0,119.0,0.10990678,188.0,181.0,179.0,225.0,337.0,236.0,865.0,0.27032205,-0.08042651,0.46419817,59.0,59.0,59.0,457.0,377.0,446.0,0.2695919,232.0,200.0,232.0,3.0,32.0,18.0,20.0,1.0,4.6666665,40.0,770692.6333651508,1456680.1392972758,21.0,284.66666,413.33334,216.0,59.0,119.166664,181.5,-1.8660561
249.0,2811.2065,1775.9586,481.41336,718.71344,822.30853,2550.026,136.0,137.0,135.0,0.08735388,209.0,202.0,200.0,251.0,377.0,271.0,872.0,0.31255624,-0.04712039,0.5157373,65.0,65.0,65.0,503.0,412.0,488.0,0.30962262,245.0,211.0,242.0,3.0,18.0,9.0,12.0,2.125,4.3333335,40.0,770942.779638287,1456680.1392972758,11.5,320.66666,452.5,227.0,65.0,136.16667,202.5,-1.7607701
219.0,2450.01,1582.3292,427.3266,658.29767,746.39966,2362.93,136.0,136.0,135.0,0.06487858,208.0,200.0,198.0,251.0,373.0,272.0,877.0,0.29755256,-0.01703827,0.5232044,65.0,65.0,65.0,502.0,411.0,483.0,0.29863828,247.0,215.0,244.0,3.0,19.0,9.0,12.0,2.5,4.4444447,10.0,771192.9259114233,1456680.1392972758,11.666667,319.0,450.16666,230.0,65.0,135.66667,200.66667,-1.7463953
214.0,2639.9583,1749.1643,464.78787,727.71155,884.6602,2605.0806,136.0,136.0,135.0,0.06820771,207.0,198.0,197.0,250.0,364.0,271.0,880.0,0.31010848,-0.008504053,0.4923111,65.0,65.0,65.0,499.0,415.0,481.0,0.3116835,250.0,220.0,247.0,3.0,19.0,9.0,13.0,3.0,4.0,10.0,771443.0721845595,1456680.1392972758,12.0,314.0,451.0,234.0,65.0,135.66667,199.16667,-1.8072567
